# replication time (downloaded from Lawrence Nature 2013. Supplementary Table5)
chr	start	end	replication_time
1	22800001	22900000	555
1	22900001	23000000	541
1	23000001	23100000	532
1	23100001	23200000	464
1	23200001	23300000	386
1	23300001	23400000	199
1	23400001	23500000	153
1	23500001	23600000	169
1	23600001	23700000	134
1	23700001	23800000	163
1	23800001	23900000	159
1	23900001	24000000	157
1	24000001	24100000	166
1	24100001	24200000	225
1	24200001	24300000	254
1	24300001	24400000	149
1	24400001	24500000	171
1	24500001	24600000	235
1	24600001	24700000	198
1	24700001	24800000	197
1	24800001	24900000	325
1	24900001	25000000	348
1	25000001	25100000	158
1	25100001	25200000	198
1	25200001	25300000	301
1	25300001	25400000	443
1	25400001	25500000	481
1	25500001	25600000	460
1	25600001	25700000	270
1	25700001	25800000	185
1	25800001	25900000	230
1	25900001	26000000	424
1	26000001	26100000	443
1	26100001	26200000	372
1	26200001	26300000	190
1	26300001	26400000	221
1	26400001	26500000	212
1	26500001	26600000	192
1	26600001	26700000	217
1	26700001	26800000	181
1	26800001	26900000	167
1	26900001	27000000	184
1	27000001	27100000	131
1	27100001	27200000	182
1	27200001	27300000	188
1	27300001	27400000	154
1	27400001	27500000	336
1	27500001	27600000	266
1	27600001	27700000	162
1	27700001	27800000	188
1	27800001	27900000	156
1	27900001	28000000	217
1	28000001	28100000	210
1	28100001	28200000	202
1	28200001	28300000	218
1	28300001	28400000	272
1	28400001	28500000	316
1	28500001	28600000	213
1	28600001	28700000	170
1	28700001	28800000	163
1	28800001	28900000	182
1	28900001	29000000	183
1	29000001	29100000	128
1	29100001	29200000	208
1	29200001	29300000	206
1	29300001	29400000	227
1	29400001	29500000	224
1	29500001	29600000	235
1	29600001	29700000	395
1	29700001	29800000	486
1	29800001	29900000	598
1	29900001	30000000	646
1	30000001	30100000	NaN
1	30100001	30200000	677
1	30200001	30300000	721
1	30300001	30400000	829
1	30400001	30500000	846
1	30500001	30600000	883
1	30600001	30700000	842
1	30700001	30800000	798
1	30800001	30900000	748
1	30900001	31000000	714
1	31000001	31100000	606
1	31100001	31200000	493
1	31200001	31300000	411
1	31300001	31400000	246
1	31400001	31500000	269
1	31500001	31600000	189
1	31600001	31700000	164
1	31700001	31800000	234
1	31800001	31900000	215
1	31900001	32000000	262
1	32000001	32100000	189
1	32100001	32200000	197
1	32200001	32300000	173
1	32300001	32400000	183
1	32400001	32500000	128
1	32500001	32600000	133
1	32600001	32700000	218
1	32700001	32800000	193
1	32800001	32900000	210
1	32900001	33000000	216
1	33000001	33100000	230
1	33100001	33200000	144
1	33200001	33300000	195
